"Категория";"Бренд";"Коллекция";"Описание";"Артикул";"наименование";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Картинки";"Бренд";"Тип";"Цвет";"Материал";"Цвет товара";"Количество предметов";"Объем";"Длина";"Ширина";"Высота";"Вес";"Состав набора";"Возраст ребенка";"Застежка";"Особенности модели";"Дополнительная информация";"Размер";"Наполнитель"
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары из ABS-пластика
Дорожные аксессуары Без бренда";"Ledeme";;"В комплекте 20 флаконов по 20 мл.<br>Мини-дизайн, портативный, отлично подходит для путешествий.<br>Удобно брать с собой в самолет, роддом, дорогу. Прекрасно подойдет для похода в спортзал. Идеально для ручной клади при авиаперелетах.<br>Прочный материал не позволит флакону деформироваться.<br>Крышка плотно закручивается и надежно защищает от пролития жидкости.<br>При поездках, путешествиях, в спортзал и в других случаях Вы можете перелить свои любимые средства личной гигиены (шампунь, гель для душа, жидкое мыло, масла и т. д.) в дорожный формат. Флаконы предназначены для парфюмерно-косметической продукции.";"https://market.yandex.ru/product--nabor-flakonov-banochek-20-sht-po-20-ml-atomaizer-flakon-dlia-dukhov-fiolka-10-ml-s-chernoi-kryshkoi/1828572631/spec?nid=18071784&show-uid=16833869452620196668816643&context=search&sku=101980642899&cpc=Z0As7jpTBUBFyHtDIgTo7r9ggzwKCGW7MzaeqsNX65qtezZYoxEZh6-ztuGJmA2wokjokohH3REsAmF9WicPIwED7ZbpLyFocaC6sCvk6Te0cMlw-GC2W3pBHGA7AU4ztB7zwYuBKkn4zQO6j32ZGsqSh02rPIHE45FFIEzd8XExdGBqSP3sTHujD36MTMWlvEd7SHToAA4%2C&do-waremd5=-qBKAfAqIVeDq91Jd731oQ";"Набор флаконов баночек 20 шт по 20 мл атомайзер флакон для духов фиолка 10 мл с черной крышкой";"https://avatars.mds.yandex.net/get-mpic/2017291/img_id4592426645422546341.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4219828/img_id7161326169528673631.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1859495/img_id6124900810328587101.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/933699/img_id7823943250510778082.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/931379/img_id7333632511302051048.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5274753/img_id5501984116144047277.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4303439/img_id8275378659756892618.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/331398/img_id215012565675227257.jpeg/orig";;;;;;;;;;;;;"Без бренда";"дорожный флакон";;"ABS-пластик";"прозрачный";"20 шт.";"20 мл";"2.4 см";"2.4 см";"6.5 см";;"крышка, флакон";;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон 50 мл синего стекла с узким горлом (18/410) в комплекте с белым спреем-распылителем с контрольным кольцом первого вскрытия. Предназначен для хранения различных жидкостей и косметических продуктов на водно-спиртовой основе. Цена указана за набор из 10 штук.";"https://market.yandex.ru/product--flakon-50-ml-stekliannyi-s-belym-spreem-raspylitelem-nabor-10-shtuk/1759413723/spec?nid=18071784&show-uid=16833869452620196668816647&context=search&sku=101785608471&cpc=Z0As7jpTBUC8uxLyRMZXsLvoQSa-8137_5o5LaFLnq4f5_WqRAo0xvTcmxEkkhFGm8rf8qP95cswcDRWZcqo7G4RSZk25oxFJgxCMHtvgrChojKi3a_c01Vuf5HQoHyXOosd0NPypAMwWZ5dlctSoQsal8fN0Cfw_gEpb-qavwzCrl957ac4sNNs4Q8li5IVftqdPt9t6Dw%2C&do-waremd5=_oxMDcwbpsL4-kNqddYpgA";"Флакон 50 мл стеклянный с белым спреем-распылителем. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/5221826/img_id24784852986255328.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5191276/img_id826736302368520318.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5376414/img_id1663387372657643661.jpeg/orig";;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"синий, белый";"стекло";;"10 шт.";"50 мл";;"3.7 см";"11.8 см";;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон бесцветный матовый 30 мл с узким горлом (18/410) в комплекте с пластиковой крышкой с запорным конусом. Предназначен для хранения различных жидкостей и косметических продуктов, такие как капли, настойка, краситель, сыворотка, эфирное масло и пр. Цена указана за набор из 10 штук.";"https://market.yandex.ru/product--flakon-30-ml-bestsvetnyi-matovyi-s-plastikovoi-kryshkoi-nabor-10-shtuk/1489591967/spec?nid=18071784&show-uid=16833869452620196668816648&context=search&sku=101515209947&cpc=Z0As7jpTBUD-YrijK2GZz8ACY8PK2iCArInEPXn0LpTFOQzoILx3huTD9G8if36YGHkbSLM2EAFdUCJ8jgIBGGQxO2OIkIn-wR0eowlvofJG2RgYq0YFtZn21hTogXpdpWwAagDHaKmvYNC2tzmEofuZ8e29jXxWVT52lfZvSswRvToqdTL7xM9J23HWe0fxlHNVErzm-pXEw9krGvPFXE7Kq-jP_tS0U8B85i_9H4CKj_h61WSAgtQ7AoyerOizJ9WXY6f88RVg0n1CaeOqRQ%2C%2C&do-waremd5=ALUMH-BH8SsIkA6usa3qBQ";"Флакон 30 мл бесцветный матовый с пластиковой крышкой. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/6597196/img_id4609831965906517749.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5167413/img_id571253196511316274.jpeg/orig";;;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"белый";"стекло";"бесцветный";"10 шт.";"30 мл";;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары коричневого цвета
Дорожные аксессуары Без бренда";"Ledeme";;"Флакон 50 мл стекло коричневое с черным кремовым дозатором предназначен для косметических средств, гелей, кремов, молочка, масляных средств Для использования дома, на работе, можно использовать в качестве дорожного набора для путешествий Коричневое стекло защищает продукт от окисления Стеклянные флаконы более долговечны, чем пластиковые аналоги";"https://market.yandex.ru/product--bimonti-cosmetics-flakon-kosmeticheskii-stekliannyi-50-ml-s-dozatorom-3-shtuki/1774244893/spec?nid=18071784&show-uid=16833869452620196668816649&context=search&sku=101837963742&cpc=Z0As7jpTBUC7hMnH1iqfdN8gb2wuJ8u6koSysiEnoxC090qsPGXLkjR-Z7QgL9zPKRxjNeX917UDSmlrh12Fyq5biIfPtV-oF9Let1OFrlRJm9L8y-elqoX7Sp63iwDGttjklKEJlLrbqiuNHi5PLeTg7POrYdVsFxeXKqHtrpq8w7IWtHcMdomJTW7VHZ9B2UuEeHYbtrk%2C&do-waremd5=cuQ-KWLwNA841TuKHG3tTQ";"Дорожный флакон стеклянный 50 мл с дозатором для крема";"https://avatars.mds.yandex.net/get-mpic/5204675/img_id4355187312586284707.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/1909520/img_id4237597655111806574.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5332938/img_id1203238534303611636.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4219717/img_id1346447218993832121.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4399094/img_id7825257583622471846.jpeg/orig";;;;;;;;;;;;;;;;"Без бренда";"дорожный флакон";"коричневый";;"коричневый";;;;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон 50 мл опалового стекла с узким горлом (18/410) в комплекте с пластиковой крышкой с капельницей. Предназначен для хранения и дозирования различных легко-текучих жидкостей и косметических продуктов, например эфирное масло или эфирные композиции и т. п. Цена указана за набор из 10 штук. Вес набора: 710 гр. Упаковка: 210110210 мм.";"https://market.yandex.ru/product--flakon-50-ml-stekliannyi-opalovyi-s-kryshkoi-s-kapelnitsei-nabor-10-shtuk/1657044451/spec?nid=18071784&show-uid=16833869452620196668816650&context=search&sku=101570805589&cpc=Z0As7jpTBUCC4AEZ0G01DzoQSX9L0BpZGuWO_v7WLaFD0yjk-r5xDYCuJGl7L21YTDUHn_ch7nJmcsjXPwQRwiDZ3NChsnjpIIx79ghEQnAb6G4-4Edtoo5LBtgfy4UIseUDkuO7ho3Peb0Rno2_h1QT4cyvOYTyjBOL_PiFhjsc9fXO2ordhC20m8fbjPF_5btv8Myfw7I%2C&do-waremd5=JaCikXKbm-J1FBEDdOaAnQ";"Флакон 50 мл стеклянный опаловый с крышкой с капельницей. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/4529531/img_id7194691867569745024.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5245500/img_id7398691862514085225.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5312584/img_id4870444078738547980.jpeg/orig";;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"белый";"стекло";;"10 шт.";"50 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Интэк";"Ledeme";;"Дорожный флакон Ameli для путешествий, предназначен для хранения гелей для душа, шампуней, кондиционеров, тоников и кремов. Флакон выполнен из прозрачного пластика с рисунком очень удобен, компактен и практичен в использовании, с прочной крышкой-защелкой.";"https://market.yandex.ru/product--ameli-kosmeticheskii-dorozhnyi-flakon-100ml-s-kryshkoi-zashchelkoi-dorozhnye-aksessuary/1760876902/spec?nid=18071784&show-uid=16833869452620196668816651&context=search&sku=101772318684&cpc=Z0As7jpTBUBqvT5GnqYL_waHSFKEK6b4FvX4BdgiI9rII0ctX0IRjfBjSuwMufsOkNz24NkZ-OaKivkMVLJnzB2raf7pDhcl4FzbD7xlaFVpML94LJQRBdCG4CF-jm3Xsjn_OiPPzDPT8hbp18bsq_3znMsXK2srVpmu77DsI7ouMXuXwmAY36DEQC3Nh1eLZ_y24Cd3oUldq5rFVnJJdAU6-vP9fXfkKsoezACKyu38OwjdbUK819IdX5shSriynpgbOOdb_UWXXUE9Ez-yFw%2C%2C&do-waremd5=V0VEyJEkuXP9MK-kJSwcUg";"Ameli косметический дорожный флакон 100мл, С крышкой-защелкой / дорожные аксессуары";"https://avatars.mds.yandex.net/get-mpic/5323398/img_id7190102720965837698.jpeg/orig";;;;;;;;;;;;;;;;;;;;"Интэк";"дорожный флакон";"бесцветный, красный";;"красный/прозрачный";;"100 мл";;;;;;;"защелка";;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов";"Ledeme";;"Данный набор отлично подойдет что бы перелить из больших не удобных ёмкостей в меньшие. Каждая бутылочка, из мягкого пластика. Многоразовые. С крышкой Флип- топ. Данная бутылка после использования может быть сдана на переработку. Это отличный дорожный формат. Флакон в основном используют для парфюмерно-косметической продукции. Бутылочки средней жесткости, что позволяет выдавливать содержимое. Можно брать в: путешествие, в поход, командировку, в спортзал, на работу, на дачу, под самоделки, даже же для роддома и многие другие места где требуется не большой объем.";"https://market.yandex.ru/product--flakon-s-kryshkoi-flip-top-50ml-10-shtuk/1747633755/spec?nid=18071784&show-uid=16833869452620196668816652&context=search&sku=101718627395&cpc=Z0As7jpTBUAN29jtoj95GOSDtx0YCgAgb3C_odQ5T6FIo7uAWKQAdSVwOqQFuQdFyzkBvR8l9pf5JUU9K48H6ij9h7WqVJKzfl5qVwaBz4g9sdTXl5egXVwWXmkKD36GJQ-PIqdgVilslW8700hx_jFaunm-VKoQjlBdebQ_Lf9Y9j_HgPUS3V6A5_6dON__VrJMegOmsNWdB2mmt0uBihsuPUzMVSS-O1yOxB-kaqMJ_novzuASwAxnF7EzGyud-2I0-H0fERorAsGgOMIDoA%2C%2C&do-waremd5=a5MicXwWvnifPPH3txikTg";"Флакон с крышкой флип-топ - 50мл. (10 штук)";"https://avatars.mds.yandex.net/get-mpic/4614963/img_id748402717428157818.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5346238/img_id8019598521725831438.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5145248/img_id784267116824288749.jpeg/orig";;;;;;;;;;;;;;;;;;"ТАРА";"дорожный флакон";"бесцветный";"пластик";"прозрачный";"10 шт.";"50 мл";;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары CandleM
Дорожные аксессуары мужские";"Ledeme";;"Тип горла: 18 мм<br>Высота: 76 мм<br>Диаметр: 28 мм<br>крышка с контролем вскрытия";"https://market.yandex.ru/product--flakon-plastikovyi-30-ml-s-kryshkoi-kapelnitsei-10-shtuk/1839549941/spec?nid=18071784&show-uid=16833869452620196668816653&context=search&sku=101944112015&cpc=Z0As7jpTBUACwwDFV0L3lFJOy3P3bDFtxDfEDGPF8JY9CiMyey3XwxUEugBHGczycIcQyX9Vin5fGNKClpb2OUSrwRftaNxJYc85K2rMkZkrrEaTHrmfb-iHSTThvo0Toak1iw1QmUWFzdLpa7PH9bueM-5fOgZPNvab9-qyz0kxA1ZzsXbRSHpLNI4uGG0_fZUcXUa85ZY%2C&do-waremd5=aG57nUC8vG2YGY_vBTQJNA";"Флакон пластиковый 30 мл с крышкой капельницей - 10 штук";"https://avatars.mds.yandex.net/get-mpic/1865271/img_id8212422601632595783.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5217690/img_id2727774047133280937.jpeg/orig";;;;;;;;;;;;;;;;;;;"CandleM";"дорожный флакон";;;;;;;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары RENI parfum
Дорожные аксессуары желтого цвета";"Ledeme";;"Флакон(распылитель. спрей ) пластик -В комплекте 10 ШТ В ассортименте";"https://market.yandex.ru/product--flakon-raspylitel-sprei-plastik-12ml-v-komplekte-10-sht-v-assortimente/1663311024/spec?nid=18071784&show-uid=16833869452620196668816654&context=search&sku=101599290918&cpc=Z0As7jpTBUC70jLOSK6x-NM60YZK7Y8q5ChKN59miZ2R2AHTZOfTyELeS0S7ebIjHDtUMMCDUf5nsN5-sXHMOQBsMa9mFLE1Hi21Cryxcw2QmNGFZuavlstUmJTIFUhaisusdaLZR91mhdDiImCrT49OOJozwEu1LHP-K4P3InTlYazyawGefm2QNLNNOWuDDcVa1u2TbiE%2C&do-waremd5=BDvhW0zdT2SDsQDC_7jsYQ";"Дорожный флакон(распылитель. спрей ) пластик 12МЛ -В комплекте 10 ШТ В ассортименте";"https://avatars.mds.yandex.net/get-mpic/5146425/img_id3334174965399691389.png/orig";;;;;;;;;;;;;;;;;;;;"RENI parfum";"дорожный флакон";"розовый, оранжевый, золотой, зеленый, желтый";;"в ассортименте";"10 шт.";;;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон бесцветный матовый 30 мл в комплекте с алюминиевой крышкой со стеклянной капельницей. Предназначен для хранения различных жидкостей и косметики, таких как капли, настойка, краситель, сыворотка, эфирное масло и т. д.<br>Цена указана за комплект из 10 штук.";"https://market.yandex.ru/product--flakon-30-ml-bestsvetnyi-matovyi-s-kryshkoi-pipetkoi-nabor-10-shtuk/1753424637/spec?nid=18071784&show-uid=16833869452620196668816656&context=search&sku=101756481088&cpc=Z0As7jpTBUB5rV4WSwRBz_zwa_Hl1nKwzC9GI2-iY1MjG0Ae9hTILZw1fGYabg2dVxYPiT0xAux6VwtUb4ffGTkDyghXrJ0CYwVab60QxHuLuTgG7fT6R9sRSkDSt4OTTRg_BAvuevCRBwFCE7l8PP_z7d4xyKLRW8F6pSoqn2ffV1zTZCgpq6cHvWFIAJPNBxLeXRtQR6c%2C&do-waremd5=hcOdZIryzApZ5Nx776a44w";"Флакон 30 мл бесцветный матовый с крышкой-пипеткой. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/5207288/img_id7308747834759586095.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4614963/img_id2421895192992237634.jpeg/orig";;;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"черный, белый";"стекло";"бесцветный";"10 шт.";"30 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Без бренда";"Ledeme";;"Набор : Нет<br>Цвет : микс<br>Объём, мл : 100<br>Рисунок : Нет<br>Материал : Пластик<br>Вид крышки : Диск-топ<br>Вид : Бутылочка<br>Состав : Пластик<br>Размеры товара : 4/4/12<br>Примечание : Товар не предназначен для хранения пищевых продуктов.<br>Примечание : Выбор конкретных цветов и моделей не предоставляется. На фотографиях могут быть представлены не все варианты.";"https://market.yandex.ru/product--butylochka-dlia-khraneniia-100-ml-tsvet-miks-1-sht/1447831114/spec?nid=18071784&show-uid=16833869452620196668816657&context=search&sku=101459734874&cpc=Z0As7jpTBUAoK2p_5ManxV6KJx7tk_ByOKpPQnkCpwVRy11N_6IJoVk-brrkP3fiOPKmiFjsyPBcnHkDa8c8eF44EOj8Vfcmk20qs-qQE9Nzr1Yo8Tw9t76mOvNGjBNznYIDPp3J8NqAp9ac4ga0vTtQHWkKK8dlnVuv8N0djqtSES5jgZVoSqwZvxTCw3VCevDEZL4wi20WR2OTJz0TzFJtHfRguC9UEmxiC19e0To4I0_5Vos2goFQm1AjypiiqY5io4G6O31xUaf8W3Y-4A%2C%2C&do-waremd5=aigJxEfh38TB5HeUSVibPQ";"Бутылочка для хранения, 100 мл, цвет микс (1 шт.)";"https://avatars.mds.yandex.net/get-mpic/4581218/img_id4042610939482618376.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5251231/img_id5382966890084926332.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4120495/img_id3821166981459394783.jpeg/orig";;;;;;;;;;;;;;;;;;"Без бренда";"дорожный флакон";"мультиколор";"пластик";"микс";;"100 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон бесцветный матовый 30 мл в комплекте с алюминиевой крышкой со стеклянной капельницей. Предназначен для хранения различных жидкостей и косметики, таких как капли, настойка, краситель, сыворотка, эфирное масло и т. д.<br>Цена указана за комплект из 10 штук.";"https://market.yandex.ru/product--flakon-30-ml-bestsvetnyi-matovyi-s-kryshkoi-pipetkoi-nabor-10-shtuk/1489592011/spec?nid=18071784&show-uid=16833869452620196668816658&context=search&sku=101516301881&cpc=Z0As7jpTBUBeA4OOWBc1uud8EjkufAgPsA15BwgBS5EIMaLLP9ktK_O-86X0igJ_4YZFMOa_lwxGhRGBdYqQ4LZh-S4kh5Xg_QRFKkc8btv5wBduo6yzi7m0zUiJKTHcg17YQ2yuqnXQ15G-85nKOlEkduSKoxV1mkfdBRNLJ8b7PFQG2TURsJhGxEQUu4KDd2cIBzjnCw8%2C&do-waremd5=9SPWpmCuL6gTRH4WZYGKlA";"Флакон 30 мл бесцветный матовый с крышкой-пипеткой. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/5221145/img_id2289001396290397529.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5227903/img_id2827526264302891811.jpeg/orig";;;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"черный, золотой, белый";"стекло";"бесцветный";"10 шт.";"30 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Дорожные аксессуары из металла и пластика
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон 30 мл прозрачного стекла с узким горлом (18/410) в комплекте с алюминиевой крышкой со стеклянной пипеткой. Предназначен для хранения различных жидкостей и косметических продуктов, такие как капли, настойка, краситель, сыворотка, эфирное масло и пр. Цена указана за набор из 3-х штук.";"https://market.yandex.ru/product--flakon-30-ml-stekliannyi-s-kryshkoi-s-pipetkoi-nabor-3-shtuki/1755684587/spec?nid=18071784&show-uid=16833869452620196668816655&context=search&sku=101767374564&cpc=Z0As7jpTBUDbGFr9NDX6PS9J37rLjBFUhJEWFKnjm91YcPFfD5uts5HXfU2PtkVryOwuObcXbeGuqgFLOiMESwG9pfAn_0sdRIGnb2vyL4-Elx3BfJjTqJVNmkjO8syjasQIAVqRj8OixXrBKudKqr6vXmC3VzGZoxNmBygwD5qgnqTsS3Lb45-K6tqP_kuOvrt_iP9KrAw%2C&do-waremd5=snwetswDGUQehQrmh1iX0w";"Флакон 30 мл стеклянный с крышкой с пипеткой. Набор 3 штуки.";"https://avatars.mds.yandex.net/get-mpic/4782842/img_id1330182609704718275.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/4901324/img_id1222663191208457089.jpeg/orig";;;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"бесцветный, белый";"металл, стекло";;"10 шт.";"30 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон бесцветный матовый 30 мл предназначен для хранения широкого спектра жидкостей. Комплектуются крышкой с горизонтальной капельницей для дозирования эфирных масел, снабжена контролем первого вскрытия. Цена указана за набор из 10 штук.";"https://market.yandex.ru/product--flakon-30-ml-bestsvetnyi-matovyi-s-kryshkoi-kapelnitsei-nabor-10-shtuk/1769840247/spec?nid=18071784&show-uid=16833869452620196668816660&context=search&sku=101817626855&cpc=Z0As7jpTBUD6k-FZt-XOIXJQiifZAPb7merYD4moKPFkeqLj_b-j281lYs3YHfaT2TpLM_VTDbMGmzG3RxmdvFhAiHYY1j-Fx-TgFIKwmbwrYtV_QHGRxTLcOI4lyloEEzAR6Mg1EcrpszwJXm3-0_m3mlWbXl6LGsdisgcL0Mj4fhpvoxASIfJ00mpF2tNL1-cvZca63tY4iiPOwFjP7zRcNuQVWi-yCRiMMYy6qu7IfndgCj5YkseE93hDn7sM66b-rWT8i2ovBPl5gkvglQ%2C%2C&do-waremd5=RXxcqz9_VDOLXZ7M4BnfIg";"Флакон 30 мл бесцветный матовый с крышкой-капельницей. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/5235334/img_id1164811897782236204.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5167413/img_id571253196511316274.jpeg/orig";;;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"белый";"стекло";"бесцветный";"10 шт.";"30 мл";;;;;;;;;;;
"Баночки для путешествий
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары мужские
Дорожные аксессуары Без бренда";"Ledeme";;"<div>Баночка с дозирующей крышкой для любых жидкостей BAKU BK-402</div>";"https://market.yandex.ru/product--emkost-dlia-zhidkostei-baku-bk-402-s-dozatorom/1753611782/spec?nid=18071784&show-uid=16833869452620196668816659&context=search&sku=101758693131&cpc=Z0As7jpTBUChWtkZYY5A37kcHG2F9g6pFvbqSxtAIP9mRXl1PxSnAo5ded_G98HzerVJxiFYoDCfK88yKo6Y_6Bq7yzA4q-5VWeriUI9aQuB0WvB_oTXAkYDk4PVEraxpBsvOWp2ph9J0cZdCKtgoA-zk3rWC_WVfV3ejpxHYFgSE7Wg9gI1XNW4REK0a9leXJOqLgkWZO7qr-JFW7UCOWh2lsDNpEiZ4AC_qD3HZ5OBpnIWBh_RNbLPTgqAQo2gFd3eSDGX06pLIwkDzt5cow%2C%2C&do-waremd5=3nLaWdSiHBQoLurBWXhUow";"Ёмкость для жидкостей BAKU BK-402 (с дозатором)";"https://avatars.mds.yandex.net/get-mpic/4904293/img_id71516097272961721.jpeg/orig";;;;;;;;;;;;;;;;;;;;"Без бренда";"дорожный флакон";"синий";;"синий";;"100 мл";;;;;;;;;;;
"Баночки для путешествий
Дорожные аксессуары бежевого цвета
Скидки на флаконы для духов
Недорогие флаконы для духов
Дорожные аксессуары Купи-флакон";"Ledeme";;"Флакон 50 мл синего стекла с узким горлом (18/410) в комплекте с пластиковой крышкой с запорным конусом. Предназначен для хранения различных жидкостей и косметических продуктов, такие как капли, настойка, краситель, сыворотка, эфирное масло и пр. Цена указана за набор из 10 штук.";"https://market.yandex.ru/product--flakon-50ml-stekliannyi-s-plastikovoi-kryshkoi-nabor-10-shtuk/1464004463/spec?nid=18071784&show-uid=16833869452620196668816661&context=search&sku=101480496195&cpc=Z0As7jpTBUC-RUPzhQsccb8OOggCrhf0uJKHA5YI88NzIlwwaR4c7sT9T0VkoM_gE-LW8D6kg0O3xMba-1AANr-bL-Rxx0TXpgOjFDbikRYAB6z06BxXNKPs6FRRpB1W8PTM3XSNQo-Rm2ItX9vciYDGlWH3pjEzfzmf6O12U2AENE45rwc1avRnJbAUDFX-sfNUQ1gS1aY%2C&do-waremd5=AoJwGuXQ2cuDdoerYBG5bw";"Флакон 50мл стеклянный с пластиковой крышкой. Набор 10 штук.";"https://avatars.mds.yandex.net/get-mpic/4575382/img_id338786565524308362.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5289362/img_id6827325849342810909.jpeg/orig";"https://avatars.mds.yandex.net/get-mpic/5228636/img_id8501683151239427018.jpeg/orig";;;;;;;;;;;;;;;;;;"Купи-флакон";"дорожный флакон";"синий, белый";"стекло";;"10 шт.";"50 мл";;;;;;;;;;;
